"an","aff_str","ror_ids","match_status","Unnamed: 4","ror_names"
"7192694","Graduate School of Economics, Kobe University, Kobe, Japan","03tgsfw79","TP","","Kobe University"
"7192695","Department of Methodology and Statistics, University of Utrecht, Utrecht, Netherlands","018bzp792","FP_wrong","","University of the Arts Utrecht"
"7192696","Departamento de Estadística, Pontificia Universidad Católica de Chile, Santiago, Chile","04teye511","TP","","Pontificia Universidad Católica de Chile"
"7192696","Department of Statistics, Brigham Young University, Provo, UT, USA","047rhhm47","TP","","Brigham Young University"
"7192697","The Department of Mathematics, The University of Alabama, Tuscaloosa, AL, USA","03xrrjk67","TP","","University of Alabama"
"7192697","Epidemiology and Biostatistics, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA","02b6qw903","TP","","University of South Carolina"
"7192698","Departamento de Estatística, Universidade Federal de Pernambuco, Recife, Brazil","047908t24","TP","","Universidade Federal de Pernambuco"
"7192698","Departamento de Estatística and LACESM, Universidade Federal de Santa Maria, Santa Maria, Brazil","01b78mz79","TP","","Universidade Federal de Santa Maria"
"7192699","Department of Industrial and Systems Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea","05apxxy63","TP","","Korea Advanced Institute of Science and Technology"
"7192700","Department of Statistics, Cochin University of Science and Technology, Cochin, India","00a4kqq17","TP","","Cochin University of Science and Technology"
"7192701","Department of Computer Engineering, Artvin Çoruh University, Artvin, Turkey","02wcpmn42","TP","","Artvin Coruh University"
"7192701","Department of Statistics, Anadolu University, Eskişehir, Turkey","05nz37n09","TP","","Anadolu University"
"7192701","Department of Statistics, Ankara University, Ankara, Turkey","01wntqw50","TP","","Ankara University"
"7192702","Department of Industrial Engineering, Faculty of Engineering, Shahed University, Tehran, Iran","01e8ff003","TP","","Shahed University"
"7192703","Department of Statistics and Computer Science, University of Veterinary and Animal Sciences, Lahore, Pakistan","00g325k81","TP","","University of Veterinary and Animal Sciences"
"7192703","Department of Statistics, University of Sargodha, Sargodha, Pakistan","0086rpr26","TP","","University of Sargodha"
"7192703","Department of Statistics, Bahauddin Zakariya University, Multan, Pakistan","05x817c41","TP","","Bahauddin Zakariya University"
"7192704","Department of Statistical Sciences, Sapienza University of Rome, Rome, Italy","02be6w209","TP","","Sapienza University of Rome"
"7192706","Department of Psychology, University of Southern California, Los Angeles, CA, USA","03taz7m60","TP","","University of Southern California"
"7192706","Centre for Clinical Brain Sciences, Neuroimaging Sciences, University of Edinburgh, Edinburgh, UK","01nrxwf90","TP","","University of Edinburgh"
"7192706","Institute of Neuroscience and Psychology, College of Medical, Veterinary and Life, University of Glasgow, Glasgow, UK","00vtgdb53","TP","","University of Glasgow"
"7192707","Institute of Biomedical Sciences, Academia Sinica, Taipei, Taiwan, Republic of China","05bxb3784","TP","","Academia Sinica"
"7192707","Center for Fundamental Science, Kaohsiung Medical University, Kaohsiung, Taiwan, Republic of China","03gk81f96","TP","","Kaohsiung Medical University"
"7192707","Department of Applied Mathematics, National Chung Hsing University, Taichung City, Taiwan, Republic of China","05vn3ca78","TP","","National Chung Hsing University"
"7192707","Department of Applied Mathematics, Chung Yuan Christian University, Chung Li, Taiwan, Republic of China","02w8ws377","TP","","Chung Yuan Christian University"
"7192708","Centre for Multilevel Modelling, University of Bristol, Bristol, UK","0524sp257","TP","","University of Bristol"
"7192708","Institute of Health Management, Policy and Evaluation, University of Toronto, Toronto, ON, Canada","03dbr7087","TP","","University of Toronto"
"7192708","Schulich Heart Research Program, Sunnybrook Research Institute, Toronto, ON, Canada","05n0tzs53","TP","","Sunnybrook Research Institute"
"7192708","Institute for Clinical Evaluative Sciences, Toronto, ON, Canada","","FN","",""
"7192709","School of Mathematics, Southwest Jiaotong University, Chengdu, China","00hn7w693","TP","","Southwest Jiaotong University"
"7192709","Singapore Eye Research Institute, Duke-NUS Medical School, Singapore","02crz6e12","TP","","Singapore Eye Research Institute"
"7192709","Singapore Eye Research Institute, Duke-NUS Medical School, Singapore","02j1m6098","TP","","Duke-NUS Medical School"
"7192709","Singapore Eye Research Institute, Singapore","02crz6e12","TP","","Singapore Eye Research Institute"
"7192710","Department of Statistics, University of Peshawar, Peshawar, Pakistan","02t2qwf81","TP","","University of Peshawar"
"7192710","Department Statistics, Quaid-i-Azam University, Islamabad, Pakistan","04s9hft57","TP","","Quaid-i-Azam University"
"7192711","Université de Lausanne, Lausanne, Switzerland","019whta54","TP","","University of Lausanne"
"7192711","ETH Zürich, Zürich, Switzerland","05a28rw58","TP","","ETH Zurich"
"7192711","SCOR Switzerland Ltd, Zürich, Switzerland","","TN","",""
"7192712","Department of Mathematics, Birjand Branch, Islamic Azad University, Birjand, Iran","02558wk32","FP_wrong","","Islamic Azad University, Arak"
"7192712","Department of Statistics, University of Birjand, Birjand, Iran","03g4hym73","TP","","University of Birjand"
"7192713","Department of Mathematics and Statistics, University of Winnipeg, Winnipeg, Canada","02gdzyx04","TP","","University of Winnipeg"
"7192713","Department of Statistics, University of Winnipeg, Winnipeg, MB, Canada","02gdzyx04","TP","","University of Winnipeg"
"7192714","School of Health Administration, Texas State University-San Marcos, San Marcos, TX, USA","009ey6w22","TP","","Texas State University System"
"7192715","School of Health Administration, Texas State University-San Marcos, San Marcos, TX, USA","009ey6w22","TP","","Texas State University System"
"7192716","Department of Mathematics and Statistics, University of Neyshabur, Neyshabur, Iran","01x41eb05","TP","","University of Neyshabur"
"7192716","Department of Statistics, Ferdowsi University of Mashhad, Mashhad, Iran","00g6ka752","TP","","Ferdowsi University of Mashhad"
"7192717","Department of Behavioral Sciences & Social Medicine, Florida State University, College of Medicine, Tallahassee, FL, USA","05g3dte14","TP","","Florida State University"
"7192717","Department of Statistics, Florida State University, Tallahassee, USA","05g3dte14","TP","","Florida State University"
"7192718","Department of Statistics and Applied Probability, National University of Singapore, Singapore, Singapore","01tgyzw49","TP","","National University of Singapore"
"7192718","School of Mathematics and Statistics, University of Western Australia, Crawley, Australia","047272k79","TP","","The University of Western Australia"
"7192719","Department of Mathematics and Statistics, Bowling Green State University, Bowling Green, USA","00ay7va13","TP","","Bowling Green State University"
"7192719","Department of Mathematics and Statistics, University of Minnesota, Duluth, USA","017zqws13","FP_wrong","","University of Minnesota"
"7192720","Departamento de Estatística, Universidade Federal do Rio Grande do Norte, Natal, Brazil","04wn09761","TP","","Universidade Federal do Rio Grande do Norte"
"7192720","Departamento de Estatística, Universidade Federal do Espírito Santo, Vitória, Brazil","05sxf4h28","TP","","Universidade Federal do Espírito Santo"
"7192721","School of Statistics, Qufu Normal University, Qufu, People's Republic of China","03ceheh96","TP","","Qufu Normal University"
"7192721","College of Science, China University of Petroleum, Qingdao, People's Republic of China","041qf4r12","TP","","China University of Petroleum, Beijing"
"7192721","Zhongtai Securities Institute for Financial Studies, Shandong University, Jinan, People's Republic of China","0207yh398","TP","","Shandong University"
"7192722","School of Computer Science, Engineering and Mathematics, Flinders University, Adelaide, South Australia, Australia","01kpzv902","TP","","Flinders University"
"7192722","School of Mathematics, An Giang University, Long Xuyen, An Giang, Vietnam","023pm6532","TP","","An Giang University"
"7192723","Department of Mathematics and Statistics, Jishou University, Jishou, People’s Republic of China","056szk247","TP","","Jishou University"
"7192723","Department of Mathematics and Statistics, Central China Normal University, Wuhan, People's Republic of China","03x1jna21","TP","","Central China Normal University"
"7192724","Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, Netherlands","02c2kyt77","TP","","Eindhoven University of Technology"
"7192724","Interdisciplinary Center of Psychopathology and Emotion Regulation, University of Groningen, University Medical Center Groningen, Groningen, Netherlands","012p63287","TP","","University of Groningen"
"7192724","Interdisciplinary Center of Psychopathology and Emotion Regulation, University of Groningen, University Medical Center Groningen, Groningen, Netherlands","03cv38k47","TP","","University Medical Center Groningen"
"7192724","I-BioStat, Katholieke Universiteit Leuven, Leuven, Belgium","05f950310","TP","","KU Leuven"
"7192724","I-BioStat, Universiteit Hasselt, Diepenbeek, Belgium","04nbhqj75","TP","","Hasselt University"
"7192725","Departamento de Estatística, Universidade Federal do Rio Grande do Norte, Natal, Brazil","04wn09761","TP","","Universidade Federal do Rio Grande do Norte"
"7192725","Departamento de Estatística and LACESM, Universidade Federal de Santa Maria, Santa Maria, Brazil","01b78mz79","TP","","Universidade Federal de Santa Maria"
"7192725","Instituto de Matemática e Estatística, Universidade de São Paulo, São Paulo, Brazil","036rp1748","TP","","Universidade de São Paulo"
"7192726","Department of Mathematics, College of Arts & Sciences, The University of Tennessee at Chattanooga, Chattanooga, TN, USA","00nqb1v70","TP","","University of Tennessee at Chattanooga"
"7192727","School of Statistics and Management, Shanghai University of Finance and Economics, Shanghai, People's Republic of China","00wtvfq62","TP","","Shanghai University of Finance and Economics"
"7192727","Department of Biostatistics, Yale University, New Haven, CT, USA","03v76x132","TP","","Yale University"
"7192727","Department of Mathematics and Statistics, Brock University, Ontario, Canada","056am2717","TP","","Brock University"
"7192728","Department of Mathematics and Statistics, York University, Toronto, Ontario, Canada","05fq50484","TP","","York University"
"7192728","Department of Mathematics and Statistics, Thompson Rivers University, Kamloops, British Columbia, Canada","","FN","",""
"7192729","Department of Statistics, School of Mathematics and Statistics, Xi'an Jiaotong University, Xi'an, PR China","017zhmm22","TP","","Xi'an Jiaotong University"
"7192730","Department of Mathematics and Instituto de Computación Científica Avanzada (ICCAEx), University of Extremadura, Badajoz, Spain","0174shg90","TP","","Universidad de Extremadura"
"7192731","Department of Statistics and Quantitative Methods, Università degli Studi di Milano-Bicocca, Milano, Italy","01ynf4891","TP","","University of Milano-Bicocca"
"7192731","Department of Economics, Management and Quantitative Methods, Università degli Studi di Milano, Milano, Italy","00wjc7c48","TP","","University of Milan"
"7192732","Institute of Statistics, National Tsing Hua University, Hsinchu, Taiwan","00zdnkx70","TP","","National Tsing Hua University"
"7192733","School of Mathematics, University of Manchester, Manchester, UK","027m9bs27","TP","","University of Manchester"
"7192734","School of Economics and Management, Beihang University, Beijing, People's Republic of China","00wk2mp56","TP","","Beihang University"
"7192734","Beijing Key Laboratory of Emergence Support Simulation Technologies for City Operations, Beijing, People's Republic of China","","TN","",""
"7192735","Department of Astronomy, Beijing Normal University, Beijing, People's Republic of China","022k4wk35","TP","","Beijing Normal University"
"7192736","Department of Statistics, University of Jammu, Jammu, India","02retg991","TP","","University of Jammu"
"7192737","Mathematical Sciences Institute, Australian National University, Canberra, ACT, Australia; and Yau Mathematical Sciences Center, Tsinghua University, Beijing, China","019wvm592","TP","","Australian National University"
"7192737","Mathematical Sciences Institute, Australian National University, Canberra, ACT, Australia; and Yau Mathematical Sciences Center, Tsinghua University, Beijing, China","03cve4549","TP","","Tsinghua University"
"7192737","School of Mathematics, Monash University, Clayton, VIC, Australia","02bfwt286","TP","","Monash University"
"7192737","School of Mathematics and Statistics, University of Sydney, NSW, Australia","0384j8v12","TP","","The University of Sydney"
"7192738","Department of Mathematics, University of California at Santa Barbara","02t274463","TP","","University of California, Santa Barbara"
"7192738","Department of Mathematics, Princeton University, Princeton, New Jersey, U.S.A.","00hx57361","TP","","Princeton University"
"7192739","Department of Mathematics, Brown University, Providence, Rhode Island, U.S.A.","05gq02987","TP","","Brown University"
"7192740","Department of Mathematics, University of California at Davis","0168r3w48","FP_wrong","","University of California San Diego"
"7192740","Department of Mathematics, Harvard University, Cambridge, Massachusetts, U.S.A.","03vek6s52","TP","","Harvard University"
"7192740","Department of Mathematics, Massachusetts Institute of Technology, Cambridge, Mass., U.S.A.","042nb2s44","TP","","Massachusetts Institute of Technology"
"7192741","Department of Applied Mathematics and Statistics, Ukrainian Catholic University, Lviv, Ukraine, Lviv, Ukraine","05tt5nr09","TP","","Ukrainian Catholic University"
"7192741","Department of Computational Mathematics and Programming, Lviv Polytechnic National University, Lviv, Ukraine, Lviv, Ukraine","0542q3127","TP","","Lviv Polytechnic National University"
"7192742","Kyiv National University of Food Technologies Kyiv, Ukraine, Kyiv, Ukraine","050vh8780","FP_wrong","","Kyiv National University of Technologies and Design"
"7192742","Ivan Franko National University of Lviv Lviv, Ukraine, Lviv, Ukraine","01s7y5e82","TP","","Lviv University"
"7192743","Zhytomyr Ivan Franko State University, Zhytomyr, Ukraine","044ghaj56","TP","","Zhytomyr Ivan Franko State University"
"7192744","Ivano-Frankivsk National Technical University of Oil and Gas, Ivano-Frankivsk, Ukraine","01f1ses45","TP","","Ivano-Frankivsk National Technical University of Oil and Gas"
"7192745","Diablo Valley College San Ramon Campus, San Ramon, USA Chabot College Hesperian Blvd Hayward, USA, San Ramon, USA","02q865m71","TP","","Diablo Valley College"
"7192745","Diablo Valley College San Ramon Campus, San Ramon, USA Chabot College Hesperian Blvd Hayward, USA, San Ramon, USA","00d18mr25","TP","","Chabot College"
"7192745","Ukrainian National Forestry University Lviv, Ukraine, Lviv, Ukraine","00rwcdf75","TP","","Ukrainian National Forestry University"
"7192746","Vasyl Stefanyk Precarpathian National University, Ukraine, Ivano-Frankivsk, Ukraine","0576vga12","TP","","Vasyl Stefanyk Carpathian National University"
"7192747","Department of Mathematics, West Bengal State University Barasat, 24 Parganas (North), West Bengal, India, Barasat, India","04qs5en05","TP","","West Bengal State University"
"7192749","Universidad de Sucre, Facultad de Educación y Ciencias Departamento de Matemáticas, Sincelejo, Colombia, Sincelejo, Colombia","04fbb7514","TP","","University of Sucre"
"7192749","Instituto Superior de Formaciуn Docente Salomй Ureсa-ISFODOSU, Recinto Emilio Prud’Homme Los Pepines, Santiago de los Caballeros, Repablica Dominicana, Santiago de los Caballeros, Repablica Dominicana","0453v4r20;05tfr6j26","FP_wrong","","University of Puerto Rico at Río Piedras;Facultad Latinoamericana de Ciencias Sociales República Dominicana"
"7192749","Universidad de la Costa, Departamento de Ciencias Naturales y Exactas, Barranquilla Colombia \& Departamento en Matemáticas, Universidad de Oriente, Cumaná, Venezuela, Cumaná, Venezuela","01v5nhr20","TP","","University of the Coast"
"7192749","Universidad de la Costa, Departamento de Ciencias Naturales y Exactas, Barranquilla Colombia \& Departamento en Matemáticas, Universidad de Oriente, Cumaná, Venezuela, Cumaná, Venezuela","03xygw105","TP","","Universidad de Oriente"
"7192752","Department of Mathematics, Keio University, Yokohama, Kanagawa, Japan","02kn6nx58","TP","","Keio University"
"7192753","International Centre for Insect Physiology and Ecology (ICIPE), University of Nairobi School of Biological Sciences, P.O.Box 30772-00100, Nairobi, Kenya","00jjtmm83","FP_wrong","","Kiriri Women's University of Science and Technology"
"7192753","School of Mathematics, University of Nairobi, P.O.Box 30197-00100, Nairobi, Kenya","02y9nww90","TP","","University of Nairobi"
"7192753","Ecological Modeling, International Maize and Wheat Improvement Center (CIMMYT), Nairobi, Kenya","","TN","",""
"7192754","EPPIcenter research program, Department of Medicine, University of California, San Francisco, CA, 94143, USA","00pjdza24","TP","","University of California System"
"7192754","Division of Epidemiology and Biostatistics, University of California, Berkeley, Berkeley, CA94720, USA","00pjdza24","TP","","University of California System"
"7192755","Department of Mathematics, Bonab Branch, Islamic Azad University, Bonab, Iran","02558wk32","FP_wrong","","Islamic Azad University, Arak"
"7192755","Department of Mathematics, Miyaneh Branch, Islamic Azad University, Miyaneh, Iran","02558wk32","FP_wrong","","Islamic Azad University, Arak"
"7192759","Department of Biostatistics and Data Science, The University of Texas School of Public Health, Houston, Texas, 77030, USA","04d5vba33","FP_wrong","","The University of Texas at El Paso"
"7192759","Fudan University School of Life Sciences, CHINA","01zntxs11","FP_wrong","","Shanghai Medical College of Fudan University"
"7192759","AstraZeneca Pharmaceuticals, Gaithersburg, Maryland, 20854, USA","043cec594","TP","","AstraZeneca (United States)"
"7192759","Department of Biostatistics and Data Science, The University of Texas School of Public Health, Houston, Texas, 77030, USA","04d5vba33","FP_wrong","","The University of Texas at El Paso"
"7192759","AstraZeneca Pharmaceuticals, Gaithersburg, Maryland, 20854, USA","043cec594","TP","","AstraZeneca (United States)"
"7192760","CNRS, LIS Université de Toulon, Aix Marseille Université, Marseille, France","052ahj806;00mny5z95;035xkbk20","FP_partial","","Centre de Génétique Moléculaire;Littératures, Imaginaire, Sociétés;Aix-Marseille Université"
"7192760","AI Lab, Faculty of Information Technology Ton Duc Thang University, Ho Chi Minh City, Vietnam","01drq0835;047van922","FP_partial","","Ton Duc Thang University;Nha Trang University"
"7192760","ETIS, ENSEA, CNRS UMR 8051 Université de Cergy-Pontoise, 95302, Cergy-Pontoise, France","052ahj806;03vs46t66","FP_partial","","Centre de Génétique Moléculaire;Université de Cergy-Pontoise"
"7192760","CNRS, GREYC, UMR 6072 Université de Caen Normandie, 14032, Caen, France","00675rp98;051kpcy16","FP_partial","","Centre National pour la Recherche Scientifique et Technique (CNRST);Université de Caen Normandie"
"7192760","Research Groups on Intelligent Machines University of Sfax, BP 1173, 3038, Sfax, Tunisia","04d4sd432","TP","","University of Sfax"
"7192761","School of Computer Science and Technology Huazhong University of Science and Technology, 430074, Wuhan, China","00p991c53","TP","","Huazhong University of Science and Technology"
"7192762","The Center for Applied Mathematics Tianjin University, 300072, Tianjin, China","012tb2g32","TP","","Tianjin University"
"7192763","Zuse Institute Berlin, Takustraße 7, 14195, Berlin, Germany","02eva5865","TP","","Zuse Institute Berlin"
"7192763","Freie Universität Berlin, Arnimallee 6, 14195, Berlin, Germany","046ak2485","TP","","Freie Universität Berlin"
"7192764","School of Electronics and Information Zhongyuan University of Technology, 450000, Zhengzhou, People’s Republic of China","0360zcg91","TP","","Zhongyuan University of Technology"
"7192764","Birkbeck College University of London, WC1E7HX, London, UK","02mb95055","TP","","Birkbeck, University of London"
"7192765","IT University, Copenhagen, Denmark","02309jg23","TP","","IT University of Copenhagen"
"7192765","University of São Paulo, São Paulo, Brazil","036rp1748","TP","","Universidade de São Paulo"
"7192766","TIAD Laboratory Sultan Moulay Slimane University, Beni Mellal, Morocco","02m8tb249;02m8tb249","TP","","Université Sultan Moulay Slimane"
"7192766","LIRST Laboratory Sultan Moulay Slimane University, Beni Mellal, Morocco","02m8tb249;02m8tb249","TP","","Université Sultan Moulay Slimane"
"7192767","University of Warwick, Zeeman Building, CV4 7HP, Coventry, UK","01a77tt86","TP","","University of Warwick"
"7192767","Max Planck Institute for Mathematics in the Sciences, Inselstraße 22, 04103, Leipzig, Germany","","FN","",""
"7192778","Departamento de Matemática Universidade Federal do Ceará, Campus do Pici - Bloco 914, CEP 60455-760, Fortaleza, Ceará, Brazil","03srtnf24","TP","","Universidade Federal do Ceará"
"7192779","Department of Mathematics Rutgers, The State University of New Jersey, 110 Frelinghuysen Road, 08854-8019, Piscataway, NJ, USA","01q1z8k08","FP_wrong","","State University of New York"
"7192794","Key Laboratory of Traffic Safety on the Track of Ministry of Education, School of Traffic and Transportation Engineering, Central South University, 410075Changsha, PR China","00f1zfq44","TP","","Central South University"
"7192794","Department of Mechanics and Maritime Sciences, Chalmers University of Technology, SE-412 96Gothenburg, Sweden","040wg7k59","TP","","Chalmers University of Technology"
"7192794","Institut für Strömungsmechanik und Technische Akustik (ISTA), Technische Universität Berlin, Müller-Breslau-Straße 8, 10623Berlin, Germany","03v4gjf40","TP","","Technische Universität Berlin"
"7192794","Institute for Turbulence–Noise–Vibration Interaction and Control, Harbin Institute of Technology, Shenzhen Campus, PR China","01yqg2h08","TP","","Harbin Institute of Technology"
"7192795","Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Centre for Mathematical Sciences, Wilberforce Road, Cambridge CB3 0WA, UK","013meh722","TP","","University of Cambridge"
"7192796","Mathematics Institute, University of Warwick, Coventry CV4 7AL, UK","01a77tt86","TP","","University of Warwick"
"7192797","Applied Physics Laboratory, University of Washington, Seattle, WA 98105, USA","00cvxb145","TP","","University of Washington"
"7192797","Department of Physical Oceanography, Woods Hole Oceanographic Institution, Woods Hole, MA 02543, USA","03zbnzt98","TP","","Woods Hole Oceanographic Institution"
"7192798","Vehicle Technology Directorate, CCDC-Army Research Lab, Aberdeen Proving Ground, MD 21005, USA","02rdkx920","TP","","United States Army Combat Capabilities Development Command"
"7192798","Department of Mechanical and Aeronautical Engineering, Clarkson University, 8 Clarkson Avenue, Potsdam, NY 13699, USA","03rwgpn18","TP","","Clarkson University"
"7192799","Institute of Mechanics, Chinese Academy of Sciences, 100190Beijing, PR China","034t30j35","TP","","Chinese Academy of Sciences"
"7192799","Department of Mechanical Engineering and St. Anthony Falls Laboratory, University of Minnesota, Minneapolis, MN 55414, USA","017zqws13","TP","","University of Minnesota"
"7192800","Institut Universitaire de France, 75005 Paris, France","055khg266","TP","","Institut Universitaire de France"
"7192800","Physics of Fluids Group, Max Planck Center Twente for Complex Fluid Dynamics, J.M. Burgers Center, and MESA+ Center for Nanotechnology, Department of Science and Technology, University of Twente, P.O. Box 217, 7500 AE Enschede, The Netherlands","035jnav47","TP","","J.M. Burgerscentrum"
"7192800","Physics of Fluids Group, Max Planck Center Twente for Complex Fluid Dynamics, J.M. Burgers Center, and MESA+ Center for Nanotechnology, Department of Science and Technology, University of Twente, P.O. Box 217, 7500 AE Enschede, The Netherlands","006hf6230","TP","","University of Twente"
"7192800","Advanced Research Center for Nanolithography (ARCNL), Science Park 106, 1098 XGAmsterdam, The Netherlands","","FN","",""
"7192800","Department of Physics and Astronomy, and LaserLaB, Vrije Universiteit, De Boelelaan 1081, 1081 HVAmsterdam, The Netherlands","008xxew50","TP","","Vrije Universiteit Amsterdam"
"7192800","Aix Marseille Université, CNRS, IUSTI, 13453 Marseille Cedex 13, France","035xkbk20","TP","","Aix-Marseille Université"
"7192800","Aix Marseille Université, CNRS, IUSTI, 13453 Marseille Cedex 13, France","052ahj806","TP","","Centre de Génétique Moléculaire"
"7192800","Aix Marseille Université, CNRS, IUSTI, 13453 Marseille Cedex 13, France","04bgbbh33","TP","","Institut Universitaire des Systèmes Thermiques Industriels"
"7192800","Aix Marseille Université, CNRS, Centrale Marseille, IRPHE, 13384 Marseille Cedex 13, France","035xkbk20","TP","","Aix-Marseille Université"
"7192800","Aix Marseille Université, CNRS, Centrale Marseille, IRPHE, 13384 Marseille Cedex 13, France","052ahj806","TP","","Centre de Génétique Moléculaire"
"7192800","Aix Marseille Université, CNRS, Centrale Marseille, IRPHE, 13384 Marseille Cedex 13, France","040baw385","TP","","Centrale Marseille"
"7192800","Department of Applied Physics, Eindhoven University of Technology, Den Dolech 2, 5600 MB, Eindhoven, The Netherlands","02c2kyt77","TP","","Eindhoven University of Technology"
"7192801","School of Engineering, University of Western Australia, 35 Stirling Highway,Crawley, WA 6009, Australia","047272k79","TP","","The University of Western Australia"
"7192801","DUT–UWA Joint Research Centre, State Key Laboratory of Coastal and Offshore Engineering,Dalian University of Technology, No. 2 Linggong Road, 116024Dalian, PR China","00adjwa30;023hj5876","FP_partial","","Dalian University of Technology;Joint Institute of the Dalian University of Technology and Belarusian State University"
"7192802","Linné FLOW Centre, Department of Mechanics, Royal Institute of Technology (KTH), Osquars Backe 18, SE-10044Stockholm, Sweden","026vcq606","TP","","KTH Royal Institute of Technology"
"7192802","Department of Aerospace Engineering, University of Cincinnati (UC), 799 Rhodes Hall, 45221Cincinnati, USA","01e3m7079","TP","","University of Cincinnati"
"7192802","Whittle Laboratory, Department of Engineering, University of Cambridge, 1 JJ Thomson Avenue, Cambridge CB3 0DY, UK","013meh722","TP","","University of Cambridge"
"7192803","LMFA – Laboratoire de Mécanique des Fluides et d’Acoustique, Ecole Centrale de Lyon, 36 avenue Guy de Collongue, 69134Ecully CEDEX, France","05s6rge65","TP","","École Centrale de Lyon"
"7192804","Department of Mechanical Engineering, FAMU-FSU College of Engineering,The Florida State University, Tallahassee, FL, USA","05g3dte14","TP","","Florida State University"
"7192805","Department of Electrical Engineering, Tohoku University, 6-6-05, Aramaki, Aoba-ku, Sendai, Miyagi, 980-8579, Japan","01dq60k83","TP","","Tohoku University"
"7192805","Department of Aerospace Engineering, Tohoku University, 6-6-01, Aramaki, Aoba-ku, Sendai, Miyagi, 980-8579, Japan","01dq60k83","TP","","Tohoku University"
"7192806","Department of Mechanical Engineering, University College London, Torrington Place, London WC1E 7JE, UK","02jx3x895","TP","","University College London"
"7192806","School of Naval Architecture and Ocean Engineering, Jiangsu University of Science and Technology, Zhenjiang 212003, China","00tyjp878","TP","","Jiangsu University of Science and Technology"
"7192807","The Interdisciplinary Center","","TN","",""
"7192808","University of Toronto","03dbr7087","TP","","University of Toronto"
"7192808","MIT","05b69xa56","FP","","MIT Art, Design and Technology University"
"7192808","Tel Aviv University","04mhzgx49","TP","","Tel Aviv University"
"7192809","Department of Computer Science Technion","03qryx823","TP","","Technion – Israel Institute of Technology"
"7192810","Université du Québec en Outaouais","011pqxa69","TP","","Université du Québec en Outaouais"
"7192810","CNRS and Univ. Bordeaux","00675rp98;03mq68c95","FP_wrong","","Centre National pour la Recherche Scientifique et Technique (CNRST);Tokoha Gakuen University"
"7192810","CNRS and University Paris Diderot","00675rp98;02n7qrg46","FP_wrong","","Centre National pour la Recherche Scientifique et Technique (CNRST);Université Paris Diderot"
"7192810","South Mediterranean University","00520ze08","FP_wrong","","South Carolina State University"
"7192810","Nokia Bell Labs France","04kwfkk85","TP","","Nokia (France)"
"7192811","McMaster University","02fa3aq29","TP","","McMaster University"
"7192811","University of Houston","048sx0r50","TP","","University of Houston"
"7192829","School of statistics and mathematics Shanghai Lixin University of Accounting and Finance","02g81yf77","TP","","Shanghai Lixin University of Accounting and Finance"
"7192829","College of Applied Mathematics Chengdu University of Information Technology","01yxwrh59","TP","","Chengdu University of Information Technology"
"7192829","Department of Mathematics Nanjing University","01rxvg760","TP","","Nanjing University"
"7192830","Department of Mathematics Netaji Subhas University of Technology","04hdbtc84;01fczmh85","FP_partial","","Netaji Subhas Open University;Netaji Subhas University of Technology"
"7192831","School of Mathematics and Systems Science Guangdong Polytechnic Normal University","02pcb5m77","TP","","Guangdong Polytechnic Normal University"
"7192831","Department of Mathematics Guangdong University of Education","0574der91","TP","","Guangdong University of Education"
"7192832","School of Applied Mathematics Xiamen University of Technology","","TP","","Xiamen University of Technology"
"7192832","College of Mathematics and System Sciences Xinjiang University","059gw8r13","TP","","Xinjiang University"
"7192833","Faculty of Arts and Sciences, Department of Mathematics Çankaya University","056wqre19","TP","","Çankaya University"
"7192834","Thapar Institute of Engineering and Technology","00wdq3744","TP","","Thapar Institute of Engineering & Technology"
"7192835","School of Science Beijing University of Posts and Telecommunications","04w9fbh59","TP","","Beijing University of Posts and Telecommunications"
"7192835","School of Mathematical Science Guizhou Normal University","02x1pa065","TP","","Guizhou Normal University"
"7192836","School of Science Hunan University of Technology","04j3vr751","TP","","Hunan University of Technology"
"7192836","School of Mathematics and Statistics Central South University","00f1zfq44","TP","","Central South University"
"7192837","School of Science China University of Petroleum (East China)","","FN","",""
"7192837","College of Mathematics and Statistics Hainan Normal University","031dhcv14","TP","","Hainan Normal University"
"7192837","Nonlinear Analysis and Applied Mathematics (NAAM)-Research Group King Abdulaziz University","01evb6z23;02ma4wv74","FP_partial","","King University;King Abdulaziz University"
"7192837","School of Mathematics, Statistics and Applied Mathematics National University of Ireland","00shsf120","TP","","National University of Ireland"
"7192838","National University of Uzbekistan","011647w73","TP","","National University of Uzbekistan"
"7192838","Department of Mathematics Karakalpak State University","059w0gb06","TP","","Karakalpak State University"
"7192838","V.I.Romanovskiy Institute of Mathematics Uzbekistan Academy of Sciences","01xgfaw76","TP","","Academy of Sciences Republic of Uzbekistan"
"7192839","Faculty of Mathematics, Informatics and Mechanics University of Warsaw","039bjqg32","TP","","University of Warsaw"
"7192839","CMUC, Department of Mathematics University of Coimbra","04z8k9a98","TP","","University of Coimbra"
"7192839","Departamento de Matemática Universidade da Beira Interior","03nf36p02","TP","","University of Beira Interior"
"7192840","Department of Mathematics Naruto University of Education","00menq219","TP","","Naruto University of Education"
"7192840","Department of Mathematics Shimane University","01jaaym28","TP","","Shimane University"
